session_id,pages_visited,time_on_site,cart_value,abandoned
SID1,39,566,1249.43,0
SID2,29,330,3530.25,0
SID3,15,272,2143.73,0
SID4,43,151,2218.3,0
SID5,8,176,3250.12,1
SID6,21,596,4682.04,0
SID7,39,385,329.39,0
SID8,19,338,4125.47,1
SID9,23,317,1468.99,0
SID10,11,336,2225.16,1
SID11,11,578,119.35,1
SID12,24,381,1512.22,0
SID13,36,341,2518.13,0
SID14,40,88,290.32,0
SID15,24,64,2460.57,1
SID16,3,474,4636.28,1
SID17,22,122,535.91,0
SID18,2,236,3824.56,1
SID19,24,382,2054.26,0
SID20,44,361,3279.32,0
SID21,30,188,1308.58,0
SID22,38,53,805.87,1
SID23,2,433,810.71,1
SID24,21,545,361.75,0
SID25,33,393,936.38,0
SID26,12,411,3324.45,0
SID27,22,561,4409.64,0
SID28,44,181,4072.49,0
SID29,25,591,3428.82,0
SID30,49,449,561.05,0
SID31,27,279,1453.05,0
SID32,42,146,1555.94,0
SID33,28,541,1257.29,0
SID34,16,364,2579.88,0
SID35,15,447,2682.41,0
SID36,47,324,1790.86,0
SID37,44,400,1775.41,0
SID38,3,215,4144.49,1
SID39,37,275,3948.57,0
SID40,7,297,1545.9,1
SID41,21,266,4569.8,1
SID42,9,559,4764.55,1
SID43,39,581,1640.45,0
SID44,18,50,1778.58,0
SID45,4,549,2533.11,1
SID46,25,129,4706.19,1
SID47,14,507,4382.83,1
SID48,9,327,521.81,0
SID49,26,555,1969.73,0
SID50,2,363,2771.32,1
SID51,20,31,2520.63,1
SID52,28,404,977.38,0
SID53,47,322,4295.5,0
SID54,7,582,3387.93,0
SID55,44,347,4191.16,0
SID56,8,531,4295.23,1
SID57,47,410,3744.3,0
SID58,35,43,2201.66,0
SID59,14,533,3056.63,0
SID60,17,260,810.22,0
SID61,36,113,3371.49,0
SID62,40,159,904.47,0
SID63,4,174,3472.81,1
SID64,2,57,1155.69,1
SID65,6,95,596.58,0
SID66,42,192,834.77,0
SID67,4,258,19.94,0
SID68,29,290,3596.51,0
SID69,18,478,3664.68,1
SID70,26,453,2579.52,0
SID71,44,489,815.2,0
SID72,34,330,426.94,0
SID73,10,332,105.45,0
SID74,36,316,837.08,0
SID75,14,424,4455.37,1
SID76,31,39,1215.27,0
SID77,48,299,1777.81,0
SID78,15,390,535.67,0
SID79,8,286,1119.58,0
SID80,14,162,2600.93,0
SID81,23,305,3042.69,0
SID82,40,542,1234.31,0
SID83,21,342,298.08,0
SID84,16,313,1961.25,0
SID85,45,150,1178.67,1
SID86,18,136,1105.57,0
SID87,47,233,4799.72,0
SID88,24,194,3085.34,1
SID89,26,334,2788.82,0
SID90,25,526,2084.72,0
SID91,45,585,2150.43,0
SID92,41,185,2709.12,0
SID93,29,396,3485.18,0
SID94,15,280,3513.71,1
SID95,45,363,866.75,0
SID96,1,540,2505.56,1
SID97,25,322,2065.67,0
SID98,7,49,4353.93,1
SID99,9,311,3160.78,1
SID100,24,30,2667.2,1
SID101,1,148,585.82,1
SID102,44,64,3032.13,0
SID103,8,227,594.85,0
SID104,24,514,1692.66,0
SID105,11,88,722.78,0
SID106,17,190,3463.45,0
SID107,8,235,1039.2,0
SID108,35,41,1965.38,0
SID109,35,519,4479.42,0
SID110,33,305,1029.54,0
SID111,5,271,2543.95,1
SID112,42,245,2102.17,0
SID113,39,280,100.44,1
SID114,41,155,3965.86,0
SID115,28,246,354.54,0
SID116,7,335,2376.53,1
SID117,9,214,2807.78,1
SID118,8,68,3145.85,1
SID119,12,252,3446.27,1
SID120,34,213,1273.83,0
SID121,33,524,59.79,0
SID122,48,456,3619.98,0
SID123,23,207,2682.93,0
SID124,24,457,4182.23,0
SID125,37,323,4108.73,0
SID126,35,180,4218.2,0
SID127,44,413,2430.62,0
SID128,40,337,1674.81,0
SID129,22,365,3959.88,0
SID130,27,404,2261.96,0
SID131,35,37,925.38,0
SID132,1,370,4276.32,1
SID133,35,158,4413.97,0
SID134,37,381,2336.89,0
SID135,47,387,387.74,0
SID136,14,546,1945.25,0
SID137,3,524,4019.65,0
SID138,1,115,4509.85,1
SID139,5,204,1025.33,1
SID140,26,222,344.2,0
SID141,14,340,4387.98,1
SID142,39,148,1953.13,1
SID143,27,247,2713.39,1
SID144,9,456,4840.65,1
SID145,15,443,342.16,0
SID146,15,143,3245.11,1
SID147,26,174,379.79,0
SID148,42,567,1883.59,0
SID149,13,332,4021.03,0
SID150,32,374,2173.03,0
SID151,39,30,4985.94,0
SID152,49,176,2799.71,0
SID153,32,316,1612.6,0
SID154,4,82,1108.36,1
SID155,30,333,1759.1,0
SID156,37,98,1868.94,0
SID157,23,390,352.88,0
SID158,39,249,1854.18,0
SID159,45,190,2326.55,0
SID160,15,118,3616.46,1
SID161,43,188,3287.08,0
SID162,29,518,3546.74,0
SID163,36,353,51.73,0
