session_id,pages_visited,time_on_site,cart_value,abandoned
SID1,7,66,53.1,1
SID2,4,345,236.93,0
SID3,13,143,221.66,1
SID4,11,69,118.38,1
SID5,8,330,12.43,0
SID6,13,253,252.5,1
SID7,5,347,8.37,0
SID8,7,378,212.59,1
SID9,10,144,291.23,0
SID10,3,352,134.11,0
SID11,7,597,74.32,0
SID12,11,69,212.94,1
SID13,11,69,246.05,1
SID14,8,318,166.2,0
SID15,5,291,290.28,1
SID16,4,245,20.24,0
SID17,8,176,153.91,0
SID18,8,365,216.94,0
SID19,3,197,259.48,1
SID20,6,121,57.88,0
SID21,5,382,241.0,0
SID22,2,392,168.05,0
SID23,8,586,121.98,0
SID24,12,374,43.86,1
SID25,14,199,260.26,1
SID26,6,385,51.4,0
SID27,2,220,96.39,0
SID28,12,451,90.56,0
SID29,5,36,262.07,1
SID30,1,162,203.45,1
SID31,12,586,240.02,0
SID32,10,60,78.89,1
SID33,6,564,189.34,0
SID34,13,455,173.67,0
SID35,12,423,250.68,1
SID36,9,392,272.3,1
SID37,1,466,8.59,0
SID38,11,580,203.84,0
SID39,11,111,20.29,0
SID40,10,385,166.91,0
SID41,12,287,89.85,0
SID42,12,553,95.5,0
SID43,14,324,109.12,0
SID44,14,253,188.28,0
SID45,14,554,103.54,0
SID46,3,75,221.15,0
SID47,12,142,124.34,1
SID48,7,262,25.16,0
SID49,4,46,236.21,1
SID50,9,389,89.3,0
SID51,3,252,132.67,0
SID52,5,477,207.21,0
SID53,3,394,103.07,0
SID54,7,355,21.69,0
SID55,5,496,115.31,0
SID56,9,443,283.61,1
SID57,7,484,194.31,1
SID58,2,262,203.09,0
SID59,4,253,191.52,0
SID60,9,441,63.7,0
SID61,12,364,128.41,0
SID62,14,251,226.53,0
SID63,2,66,34.91,0
SID64,10,307,86.97,0
SID65,9,225,86.51,0
SID66,10,513,132.45,0
SID67,5,271,294.21,1
SID68,2,353,24.91,0
SID69,4,221,158.02,0
SID70,12,46,57.91,1
SID71,12,553,291.35,1
SID72,7,430,38.42,0
SID73,12,51,124.06,1
SID74,13,503,222.68,0
SID75,8,149,212.84,1
SID76,3,239,129.7,0
SID77,14,335,107.22,0
SID78,1,299,122.3,1
SID79,4,314,82.96,0
SID80,2,256,65.57,0
SID81,8,410,147.5,0
SID82,4,489,84.22,0
SID83,2,36,89.8,1
SID84,14,58,198.74,1
SID85,6,62,290.72,1
SID86,6,108,183.07,1
SID87,10,488,27.71,0
SID88,4,599,27.3,0
SID89,6,567,285.67,1
SID90,13,511,92.7,0
SID91,2,459,32.16,0
SID92,10,314,181.72,0
SID93,12,545,188.98,0
SID94,2,128,196.31,1
SID95,10,426,83.88,1
SID96,14,518,9.46,0
SID97,4,68,289.68,1
SID98,14,300,79.01,0
SID99,8,186,204.43,0
SID100,14,104,213.46,1
SID101,7,159,184.95,1
SID102,12,113,97.31,0
SID103,9,51,84.97,1
SID104,14,488,181.31,0
SID105,8,568,260.5,1
SID106,5,411,284.29,1
SID107,13,469,36.24,0
SID108,2,50,50.67,1
SID109,5,332,283.7,1
SID110,8,113,222.28,0
SID111,10,482,265.48,1
SID112,9,416,64.78,0
SID113,12,536,178.34,0
