session_id,pages_visited,time_on_site,cart_value,abandoned
SID1,7,583,2334.47,0
SID2,4,403,2860.1,0
SID3,8,196,1527.11,0
SID4,5,488,1597.34,0
SID5,7,309,4806.19,1
SID6,10,331,4459.64,1
SID7,3,560,4247.4,1
SID8,7,247,2036.0,0
SID9,8,131,78.36,0
SID10,5,583,410.31,0
SID11,4,317,1567.86,1
SID12,8,196,88.56,0
SID13,8,65,95.58,0
SID14,3,382,4583.85,0
SID15,6,102,3533.73,1
SID16,5,382,1551.69,0
SID17,2,99,671.9,1
SID18,8,454,2563.06,0
SID19,6,590,36.68,0
SID20,2,546,4692.68,1
SID21,5,457,2079.93,0
SID22,1,568,2017.65,0
SID23,10,189,1959.06,0
SID24,6,178,355.95,0
SID25,9,259,3195.23,1
SID26,1,591,3667.69,0
SID27,10,96,3383.87,1
SID28,3,410,700.79,0
SID29,7,87,2898.41,1
SID30,4,288,2851.73,1
SID31,9,371,4343.37,1
SID32,3,159,1901.85,1
SID33,5,201,1863.71,0
SID34,3,238,3096.45,1
SID35,7,383,3169.03,1
SID36,5,500,2351.73,0
SID37,9,145,2220.87,1
SID38,7,293,2475.8,1
SID39,2,471,4306.62,1
SID40,4,577,2311.22,0
SID41,9,482,4700.26,1
SID42,2,506,2524.98,1
SID43,10,316,4746.51,1
SID44,9,332,4165.83,1
SID45,10,340,1818.53,0
SID46,5,237,4319.57,1
SID47,2,475,559.22,0
SID48,4,84,4625.99,0
SID49,7,41,3161.9,1
SID50,8,429,281.41,0
SID51,3,544,3224.84,1
SID52,1,571,4871.5,1
SID53,4,266,358.31,0
SID54,2,308,2777.89,1
SID55,8,377,3741.49,1
SID56,4,133,4053.19,1
SID57,2,546,2075.0,1
SID58,6,277,1028.79,0
SID59,6,393,221.29,0
SID60,10,350,2902.83,0
SID61,4,315,2270.03,1
SID62,6,178,4744.23,0
SID63,2,113,312.42,0
SID64,10,435,3430.12,1
SID65,2,485,134.58,0
SID66,10,190,865.46,0
SID67,4,489,2273.36,0
SID68,8,579,2279.81,0
SID69,7,529,3431.65,1
SID70,9,538,4551.96,1
SID71,8,510,3198.77,1
SID72,5,143,4768.14,1
SID73,2,390,4409.26,1
SID74,5,370,2926.65,0
SID75,8,478,4170.62,1
SID76,10,209,3216.46,1
SID77,9,436,402.0,0
SID78,9,225,3705.42,1
SID79,1,495,483.59,1
SID80,9,340,2974.47,0
SID81,7,291,3516.17,1
SID82,9,448,341.97,0
SID83,8,435,1161.67,0
SID84,1,172,4579.2,1
SID85,8,371,3085.41,1
SID86,8,345,1238.97,0
SID87,3,130,3456.49,0
SID88,1,273,2987.91,1
SID89,8,519,2512.86,0
SID90,3,41,4881.17,1
SID91,3,268,3420.43,1
SID92,1,590,1883.45,1
SID93,5,71,4002.37,1
SID94,10,458,4424.07,1
SID95,7,187,634.85,1
SID96,10,245,1010.76,0
SID97,9,491,1088.97,0
SID98,7,163,3459.15,1
