session_id,pages_visited,time_on_site,cart_value,abandoned
SID1,7,583,235.58,0
SID2,4,403,287.73,0
SID3,8,196,155.49,1
SID4,5,488,162.46,0
SID5,7,309,480.77,1
SID6,10,331,446.4,1
SID7,3,560,425.34,1
SID8,7,247,205.98,1
SID9,8,131,11.78,0
SID10,5,583,44.71,0
SID11,4,317,159.54,0
SID12,8,196,12.79,0
SID13,8,65,13.49,0
SID14,3,382,458.72,0
SID15,6,102,354.55,1
SID16,5,382,157.93,0
SID17,2,99,70.66,0
SID18,8,454,258.26,0
SID19,6,590,7.65,0
SID20,2,546,469.51,1
SID21,5,457,210.33,0
SID22,1,568,204.16,1
SID23,10,189,198.34,1
SID24,6,178,39.32,0
SID25,9,259,320.97,1
SID26,1,591,367.84,0
SID27,10,96,339.68,1
SID28,3,410,73.53,0
SID29,7,87,291.53,1
SID30,4,288,286.89,1
SID31,9,371,434.86,1
SID32,3,159,192.67,1
SID33,5,201,188.89,1
SID34,3,238,311.17,1
SID35,7,383,318.37,1
SID36,5,500,237.3,0
SID37,9,145,224.31,1
SID38,7,293,249.6,0
SID39,2,471,431.22,1
SID40,4,577,233.28,0
SID41,9,482,470.27,1
SID42,2,506,254.48,0
SID43,10,316,474.85,1
SID44,9,332,417.25,1
SID45,10,340,184.4,1
SID46,5,237,432.5,1
SID47,2,475,59.48,0
SID48,4,84,462.9,0
SID49,7,41,317.66,1
SID50,8,429,31.92,0
SID51,3,544,323.91,1
SID52,1,571,487.25,1
SID53,4,266,39.55,0
SID54,2,308,279.57,1
SID55,8,377,375.16,1
SID56,4,133,406.08,1
SID57,2,546,209.84,0
SID58,6,277,106.06,0
SID59,6,393,25.96,0
SID60,10,350,291.96,1
SID61,4,315,229.19,1
SID62,6,178,474.63,0
SID63,2,113,35.0,0
SID64,10,435,344.27,1
SID65,2,485,17.36,0
SID66,10,190,89.86,0
SID67,4,489,229.52,0
SID68,8,579,230.16,0
SID69,7,529,344.42,1
SID70,9,538,455.56,1
SID71,8,510,321.32,1
SID72,5,143,477.0,1
SID73,2,390,441.4,1
SID74,5,370,294.33,0
SID75,8,478,417.73,1
SID76,10,209,323.08,1
SID77,9,436,43.89,0
SID78,9,225,371.58,1
SID79,1,495,51.98,1
SID80,9,340,299.07,1
SID81,7,291,352.81,1
SID82,9,448,37.93,0
SID83,8,435,119.24,0
SID84,1,172,458.26,1
SID85,8,371,310.08,1
SID86,8,345,126.91,0
SID87,3,130,346.89,0
SID88,1,273,300.4,1
SID89,8,519,253.28,0
SID90,3,41,488.21,1
SID91,3,268,343.31,1
SID92,1,590,190.84,0
SID93,5,71,401.04,1
SID94,10,458,442.87,1
SID95,7,187,66.98,1
SID96,10,245,104.27,0
SID97,9,491,112.03,0
SID98,7,163,347.15,1
SID99,9,96,303.5,1
SID100,8,36,311.4,1
SID101,2,555,470.68,0
SID102,1,102,389.08,1
SID103,7,428,68.33,0
SID104,7,434,177.02,0
SID105,8,159,220.52,1
SID106,5,495,201.0,0
SID107,3,235,336.31,1
SID108,8,295,446.49,1
SID109,6,566,156.5,0
SID110,3,282,278.18,1
SID111,1,318,395.76,1
SID112,3,193,211.03,1
SID113,5,124,88.22,0
SID114,3,139,240.1,1
SID115,1,365,32.34,0
SID116,5,267,471.48,1
SID117,10,410,42.04,0
SID118,7,465,222.04,0
SID119,7,512,267.29,0
SID120,9,54,492.73,1
SID121,10,146,87.18,1
SID122,10,511,61.64,0
SID123,3,421,9.31,0
SID124,7,566,82.01,0
SID125,1,108,107.6,1
SID126,4,202,317.14,1
SID127,4,41,113.75,1
SID128,5,157,15.16,0
SID129,7,121,414.18,1
SID130,7,572,185.97,0
SID131,4,561,180.08,0
SID132,7,476,154.73,0
SID133,3,419,487.81,1
SID134,6,72,89.21,1
SID135,2,283,449.63,1
SID136,10,159,389.52,1
SID137,9,89,42.86,0
SID138,5,496,493.43,1
SID139,6,316,139.33,0
SID140,4,546,53.8,0
SID141,10,496,415.51,1
SID142,7,374,354.8,1
SID143,9,411,310.52,1
SID144,7,282,82.21,0
SID145,1,85,241.86,1
SID146,1,492,391.38,1
SID147,9,486,155.29,0
SID148,9,112,159.29,1
SID149,4,128,6.55,0
SID150,9,178,91.25,0
SID151,3,358,438.33,1
SID152,7,185,223.66,1
SID153,6,219,492.2,1
SID154,8,523,200.88,0
SID155,9,292,359.02,1
SID156,5,109,144.55,1
SID157,1,429,185.09,0
SID158,3,289,99.41,0
SID159,10,581,176.8,0
SID160,8,130,275.88,0
SID161,6,388,495.93,1
SID162,8,409,333.78,1
SID163,9,250,103.63,0
SID164,4,449,27.26,1
SID165,1,153,67.55,0
SID166,1,451,283.46,0
SID167,10,260,383.75,1
SID168,4,92,470.51,1
SID169,7,514,12.83,0
SID170,2,512,263.77,0
SID171,3,548,238.08,0
SID172,1,184,329.75,1
SID173,5,121,281.99,1
SID174,1,555,345.08,1
SID175,8,484,330.75,1
SID176,1,539,62.92,1
SID177,1,212,400.86,1
SID178,2,415,66.0,0
SID179,2,434,350.77,1
SID180,6,275,210.99,1
SID181,7,500,259.36,0
SID182,5,452,452.13,1
SID183,1,94,445.49,1
SID184,1,42,409.84,1
SID185,3,242,257.52,1
SID186,2,271,369.44,1
SID187,5,522,258.88,0
SID188,10,242,435.46,1
SID189,6,367,204.37,0
SID190,7,202,485.27,1
SID191,4,193,466.5,1
SID192,7,494,372.09,1
SID193,8,526,143.31,0
SID194,1,424,70.17,1
SID195,6,337,428.08,1
SID196,8,212,86.82,0
SID197,5,539,427.86,1
SID198,4,575,247.93,1
SID199,2,593,206.25,0
SID200,6,256,452.08,1
SID201,6,465,303.91,1
SID202,1,451,290.42,0
SID203,9,583,281.59,0
SID204,6,50,188.73,1
SID205,3,583,393.89,1
SID206,4,426,130.14,0
SID207,4,134,469.75,1
SID208,3,221,447.52,1
SID209,10,46,172.05,1
SID210,3,149,366.08,1
SID211,3,422,288.75,0
SID212,4,454,172.14,0
SID213,7,158,494.32,1
SID214,4,159,17.49,0
SID215,9,589,130.06,0
SID216,1,58,262.44,0
SID217,8,126,263.37,1
SID218,7,39,296.52,1
SID219,2,271,377.08,1
SID220,8,261,313.62,1
SID221,1,313,302.14,1
SID222,9,229,31.49,0
SID223,9,108,191.38,1
SID224,2,202,119.87,0
SID225,7,496,136.36,0
SID226,10,445,279.4,0
SID227,3,478,103.76,0
SID228,7,116,150.5,1
SID229,10,130,122.36,1
SID230,9,37,474.51,1
SID231,4,229,472.61,1
SID232,1,534,306.92,1
SID233,2,116,462.64,1
SID234,1,72,393.98,1
SID235,5,414,297.02,0
SID236,5,464,8.19,0
SID237,7,437,387.4,1
SID238,9,512,352.73,1
SID239,9,46,309.55,1
SID240,3,177,381.41,1
SID241,3,306,258.9,1
SID242,3,261,353.52,1
SID243,4,395,467.91,1
SID244,8,257,191.02,1
SID245,6,465,355.52,1
SID246,8,428,240.47,0
SID247,1,240,338.83,1
SID248,8,420,382.63,1
SID249,4,528,27.5,0
SID250,1,569,325.07,1
SID251,8,592,117.24,0
SID252,4,520,336.67,0
SID253,6,471,236.82,0
SID254,8,290,387.91,1
SID255,4,379,66.08,0
SID256,3,381,315.03,1
SID257,9,549,142.84,0
SID258,3,349,427.23,1
SID259,9,167,464.55,0
SID260,2,579,498.22,1
SID261,2,397,399.02,1
SID262,2,249,378.1,1
SID263,6,366,111.67,0
SID264,3,252,171.32,1
SID265,9,389,235.51,0
SID266,4,358,387.82,0
SID267,1,492,457.91,1
SID268,4,590,98.62,1
SID269,1,411,461.57,1
SID270,5,198,349.33,1
SID271,4,246,307.33,1
SID272,8,407,103.92,0
SID273,8,148,32.48,0
SID274,7,219,286.39,1
SID275,3,399,327.5,0
SID276,1,178,109.34,0
SID277,1,517,280.45,1
SID278,3,403,428.96,1
SID279,6,189,418.36,1
SID280,7,380,464.04,1
SID281,6,317,186.11,1
SID282,6,317,162.43,1
SID283,6,255,375.97,1
SID284,3,552,218.4,0
SID285,6,551,48.34,0
SID286,8,302,144.99,0
SID287,2,431,212.2,0
SID288,5,212,149.8,0
SID289,1,517,169.44,0
SID290,1,153,150.42,1
SID291,5,443,25.54,0
SID292,3,201,320.36,0
SID293,4,317,300.66,1
SID294,3,464,328.42,1
SID295,1,142,100.19,0
SID296,1,151,151.35,1
SID297,5,573,311.71,1
SID298,6,251,301.82,1
SID299,3,68,255.63,1
SID300,9,526,178.45,0
SID301,5,262,456.9,1
SID302,8,559,173.19,0
SID303,1,178,230.53,1
SID304,5,426,340.67,1
SID305,3,331,273.8,1
SID306,1,389,176.71,0
SID307,4,267,220.64,1
SID308,5,265,398.27,1
SID309,7,232,142.67,0
SID310,1,285,75.42,1
SID311,3,264,160.02,1
SID312,2,374,425.52,1
SID313,9,563,49.05,0
SID314,10,495,495.89,1
SID315,6,570,272.8,0
SID316,10,242,492.5,1
SID317,3,492,469.8,1
SID318,8,465,229.14,0
